date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:28	189331/189331	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2016:30:29%20GMT	https://www.cursosato.com/metodoatopv?campanha_chave=UQNXB&trackerId=0c1c0fa04d04b80d1a359957a8c88206&a=11005749	C:/Users/Erileudo/Desktop/ato%20site/ato/www.cursosato.com/metodoatopv55a2.html	(from )
13:30:28	131/131	---MCZ	200	added ('OK')	text/plain	date:Wed,%2013%20Jul%202022%2016:30:29%20GMT	https://www.cursosato.com/robots.txt		(from )
13:30:29	6494/6494	---M--	200	added ('OK')	image/png	etag:%226a984f0133f02115e1d2e19b1fca285b%22	https://cdn.greatsoftwares.com.br/arquivos/paginas/5368-4fe549e87d293825c6d4494fc329bdc6.png	C:/Users/Erileudo/Desktop/ato%20site/ato/cdn.greatsoftwares.com.br/arquivos/paginas/5368-4fe549e87d293825c6d4494fc329bdc6.png	(from https://www.cursosato.com/metodoatopv?campanha_chave=UQNXB&trackerId=0c1c0fa04d04b80d1a359957a8c88206&a=11005749)
13:30:30	189331/189331	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2016:30:30%20GMT	https://www.cursosato.com/metodoatopv	C:/Users/Erileudo/Desktop/ato%20site/ato/www.cursosato.com/metodoatopv.html	(from https://www.cursosato.com/metodoatopv?campanha_chave=UQNXB&trackerId=0c1c0fa04d04b80d1a359957a8c88206&a=11005749)
13:30:31	392204/392204	---M--	200	added ('OK')	image/png	etag:%226db5e421b54aea0a44e76f540d7beca2%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/desktop/1644950493-300005-5368-11fc7e833105096faf6c659ac8be9821.png	C:/Users/Erileudo/Desktop/ato%20site/ato/cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/desktop/1644950493-300005-5368-11fc7e833105096faf6c659ac8be9821.png	(from https://www.cursosato.com/metodoatopv?campanha_chave=UQNXB&trackerId=0c1c0fa04d04b80d1a359957a8c88206&a=11005749)
13:30:31	10706/10706	---M--	200	added ('OK')	image/png	etag:%22459f4b96b9260a42a13849d40b0bd998%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/desktop/1644950493-2640355-5368-4bcdd1897fbf1dcce0b518caf8c79daa.png	C:/Users/Erileudo/Desktop/ato%20site/ato/cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/desktop/1644950493-2640355-5368-4bcdd1897fbf1dcce0b518caf8c79daa.png	(from https://www.cursosato.com/metodoatopv?campanha_chave=UQNXB&trackerId=0c1c0fa04d04b80d1a359957a8c88206&a=11005749)
13:30:33	38590/38590	---M--	200	added ('OK')	image/png	etag:%22cb238462045d9006876ef83848aa3920%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/desktop/1644950493-2640356_d-5368-bc3f7fd488b2d08dd1b02ee47e41796f.png	C:/Users/Erileudo/Desktop/ato%20site/ato/cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/desktop/1644950493-2640356_d-5368-bc3f7fd488b2d08dd1b02ee47e41796f.png	(from https://www.cursosato.com/metodoatopv?campanha_chave=UQNXB&trackerId=0c1c0fa04d04b80d1a359957a8c88206&a=11005749)
13:30:34	293441/293441	---M--	200	added ('OK')	image/png	etag:%225567f01c70ede1c81bf465aede6ad2e6%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/mobile/1644950493-300005-5368-3b5f35c7944116ebc2109e6a1e4d74f1.png	C:/Users/Erileudo/Desktop/ato%20site/ato/cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/mobile/1644950493-300005-5368-3b5f35c7944116ebc2109e6a1e4d74f1.png	(from https://www.cursosato.com/metodoatopv?campanha_chave=UQNXB&trackerId=0c1c0fa04d04b80d1a359957a8c88206&a=11005749)
13:30:35	6335/6335	---M--	200	added ('OK')	image/png	etag:%2235f06d0253b80890b729f85c3c22ff91%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/mobile/1644950493-2640355-5368-4bcdd1897fbf1dcce0b518caf8c79daa.png	C:/Users/Erileudo/Desktop/ato%20site/ato/cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/mobile/1644950493-2640355-5368-4bcdd1897fbf1dcce0b518caf8c79daa.png	(from https://www.cursosato.com/metodoatopv?campanha_chave=UQNXB&trackerId=0c1c0fa04d04b80d1a359957a8c88206&a=11005749)
13:30:36	16450/16450	---M--	200	added ('OK')	image/png	etag:%227fd0cad608a70f3bc74d387315210221%22	https://cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/mobile/1644950493-2640356_d-5368-bc3f7fd488b2d08dd1b02ee47e41796f.png	C:/Users/Erileudo/Desktop/ato%20site/ato/cdn.greatsoftwares.com.br/arquivos/paginas_publicadas/www.cursosato.com-metodoatopv/imagens/mobile/1644950493-2640356_d-5368-bc3f7fd488b2d08dd1b02ee47e41796f.png	(from https://www.cursosato.com/metodoatopv?campanha_chave=UQNXB&trackerId=0c1c0fa04d04b80d1a359957a8c88206&a=11005749)
